BS;FG-St;PF-St;*S/*P;SET;G2;G3;ZP;Material;Benennung;Denom.Estruct.;Vorhaben;Cese (Entfall);PRNummer;Fecha SOP;Früh. SOP-Entfall
;;;;;;;;;;;;;;;
2;;;;M60;A;;A;578000000;AUTO;;.ZL02011;;;16/09/2024;31/12/9999
2;P-FG;;;M60;A;;A;000890159;COLECTOR;;.ZL02011;;;16/09/2024;31/12/9999
2;P-FG;;;M60;A;;A;000890159A;COLECTOR;;.ZL02011;;;16/09/2024;31/12/9999
2;B-FG;B-FG;*P;M12;M;;F;PDM5QS121;REFRIGERADOR AGUA;;.ZL02011;;;16/09/2024;31/12/9999
2;B-FG;B-FG;;M12;M;;F;PDM578121;REFRIGERADOR AGUA;Deflectores y espumas;.ZL02011;;;16/09/2024;31/12/9999
2;B-FG;B-FG;*P;M13;M;;E;PDM5QS253;SISTEMA DE ESCAPE;;.ZL02011;;;16/09/2024;31/12/9999
2;K-FG;K-FG;*P;M11;G;;A;PDM0CQ525;ENGRANAJE DIFERENCIAL;Entlueftung;.ZL02011;;;16/09/2024;31/12/9999
2;K-FG;K-FG;*P;M11;G;;A;PDM5QS713;FRENO DE MANO;;.ZL02011;;+0IC/0IJ;16/09/2024;31/12/9999
1;;;*P;M11;G;;A;PDM5QS713;FRENO DE MANO;;29V660D.;;+0EF;12/06/2028;31/12/9999
2;K-FG;K-FG;*P;M12;M;;D;PDM5QS129;SISTEMA INYECCION;;.ZL02011;;+N09/TL1/T1C/T2C/T3J;16/09/2024;31/12/9999
2;B-FG;K-FG;*P;M12;M;;D;PDM5QS129;SISTEMA INYECCION;;26V662B.;;+TU6;23/11/2026;31/12/9999
1;B-FG;B-FG;*P;M12;M;;D;PDM3WA129;SISTEMA INYECCION;;27V661R4;;+D14+T1F;14/06/2027;31/12/9999
1;B-FG;B-FG;*P;M12;M;;D;PDM3WA129;SISTEMA INYECCION;;27V661R4;;+DF9+T1F;14/06/2027;31/12/9999
2;B-FG;B-FG;*P;M12;M;;D;PDM3WA129;SISTEMA INYECCION;;25V660M.;25V661Q4;+T57;23/11/2026;23/11/2026
2;B-FG;B-FG;*P;M12;M;;D;PDM3WA129;SISTEMA INYECCION;;25V661Q4;;+T57;23/11/2026;31/12/9999
2;B-FG;K-FG;*P;M12;M;;D;PDM5QS129;SISTEMA INYECCION;;26V662B2;;+TU6;23/11/2026;31/12/9999
2;K-FG;K-FG;*P;M11;M;;A;PDM5QS145;GAS PERDIDO   TURBOAUFLADER;;.ZL02011;;;16/09/2024;31/12/9999
2;P-FG;P-FG;*P;M12;M;;F;5QS100611AC;MANGUITO RADIADOR.;EA888evo4 LK1 (2.0/150KW);.ZL02011;;+T2C+1D0+8Z4/8Z5+9M0;20/01/2025;31/12/9999
2;P-FG;P-FG;*P;M12;M;;F;5QS100611AD;MANGUITO RADIADOR.;EA888evo4 LK1 (2.0/150KW);.ZL02011;;+T2C+1D0+8Z4/8Z5+9M9;20/01/2025;31/12/9999
2;P-FG;P-FG;*P;M12;M;;F;5QS100611AE;MANGUITO RADIADOR.;EA888evo4 LK1 (2.0/150KW);.ZL02011;27V300E2;+T2C+1M5/1M6/1M9+8Z4/8Z5+9M0;20/01/2025;23/11/2026
2;P-FG;P-FG;*P;M12;M;;F;5QS100611AE;MANGUITO RADIADOR.;EA888evo4 LK1 (2.0/150KW);.ZL02011;25L300A.;+T2C+1D8+8Z4/8Z5+9M0;20/01/2025;17/02/2025
2;;;*P;M12;M;;F;5QS100611AE;MANGUITO RADIADOR.;EA888evo4 LK1 (2.0/150KW);27V300E2;27V300N.;+T2C+1M5/1M6/1M9+5QD+8Z4/8Z5+9M0;23/11/2026;23/11/2026
2;;;*P;M12;M;;F;5QS100611AE;MANGUITO RADIADOR.;EA888evo4 LK1 (2.0/150KW);27V300N.;;+T2C+1M5/1M6/1M9+5QD+8Z4/8Z5+9M0;23/11/2026;31/12/9999
2;P-FG;P-FG;*P;M12;M;;F;5QS100611AF;MANGUITO RADIADOR.;EA888evo4 LK1 (2.0/150KW);.ZL02011;27V300E2;+T2C+1M5/1M6/1M9+8Z4/8Z5+9M9;20/01/2025;23/11/2026
2;P-FG;P-FG;*P;M12;M;;F;5QS100611AF;MANGUITO RADIADOR.;EA888evo4 LK1 (2.0/150KW);.ZL02011;25L300A.;+T2C+1D8+8Z4/8Z5+9M9;20/01/2025;17/02/2025
2;;;*P;M12;M;;F;5QS100611AF;MANGUITO RADIADOR.;EA888evo4 LK1 (2.0/150KW);27V300E2;27V300N.;+T2C+1M5/1M6/1M9+5QD+8Z4/8Z5+9M9;23/11/2026;23/11/2026
2;;;*P;M12;M;;F;5QS100611AF;MANGUITO RADIADOR.;EA888evo4 LK1 (2.0/150KW);27V300N.;;+T2C+1M5/1M6/1M9+5QD+8Z4/8Z5+9M9;23/11/2026;31/12/9999
2;P-FG;P-FG;*P;M12;M;;F;5QS100611AG;MANGUITO RADIADOR.;EA888evo4 LK1 (2.0/150KW);.ZL02011;;+T2C+1D0+8Z6+9M0;20/01/2025;31/12/9999
2;P-FG;P-FG;*P;M12;M;;F;5QS100611AH;MANGUITO RADIADOR.;EA888evo4 LK1 (2.0/150KW);.ZL02011;;+T2C+1D0+8Z6+9M9;20/01/2025;31/12/9999
